## Sky Sources names
#
# Stellarium Web Engine - Copyright (c) 2022 - Stellarium Labs SRL
#
# This program is licensed under the terms of the GNU AGPL v3, or
# alternatively under a commercial license.
#
# The terms of the AGPL v3 license can be found in the main directory of this
# repository.
#
# List of all known sky source names, excluding the ones related
# to a specific sky culture. I.e. this is the international names,
# spelled in english. Translations in other languages is done in
# separate documents.
#
# Each line link a common name to its main object ID.
# The format is a list of values separated by a |
# When an object has several names, they are listed each on a separated line
# by order of importance
#
# References for the names are listed in the sources column. Details for all
# references can be found in the common_names_refs.tab
##
### planet ###
# id            |english   |wikipedia_title  |model  |sources|notes                      |
# ------------- | -------- | --------------- | ----- | ----- | ------------------------- |
JPL 10          |Sun       |Sun              |planet|WP     |
JPL 199         |Mercury   |Mercury_(planet) |planet|WP     |
JPL 299         |Venus     |Venus            |planet|WP     |
JPL 301         |Moon      |Moon             |planet|WP     |Moon of Earth (EI)
JPL 399         |Earth     |Earth            |planet|WP     |
JPL 401         |Phobos    |Phobos_(moon)    |planet|WP     |Moon of Mars (MI)
JPL 402         |Deimos    |Deimos_(moon)    |planet|WP     |Moon of Mars (MII)
JPL 499         |Mars      |Mars             |planet|WP     |
JPL 501         |Io        |Io_(moon)        |planet|WP     |Moon of Jupiter (JI)
JPL 502         |Europa    |Europa_(moon)    |planet|WP     |Moon of Jupiter (JII)
JPL 503         |Ganymede  |Ganymede_(moon)  |planet|WP     |Moon of Jupiter (JIII)
JPL 504         |Callisto  |Callisto_(moon)  |planet|WP     |Moon of Jupiter (JIV)
JPL 505         |Amalthea  |Amalthea_(moon)  |planet|WP     |Moon of Jupiter (JV)
JPL 506         |Himalia   |Himalia_(moon)   |planet|WP     |Moon of Jupiter (JVI)
JPL 507         |Elara     |Elara_(moon)     |planet|WP     |Moon of Jupiter (JVII)
JPL 508         |Pasiphae  |Pasiphae_(moon)  |planet|WP     |Moon of Jupiter (JVIII)
JPL 509         |Sinope    |Sinope_(moon)    |planet|WP     |Moon of Jupiter (JIX)
JPL 510         |Lysithea  |Lysithea_(moon)  |planet|WP     |Moon of Jupiter (JX)
JPL 511         |Carme     |Carme_(moon)     |planet|WP     |Moon of Jupiter (JXI)
JPL 512         |Ananke    |Ananke_(moon)    |planet|WP     |Moon of Jupiter (JXII)
JPL 513         |Leda      |Leda_(moon)      |planet|WP     |Moon of Jupiter (JXIII)
JPL 514         |Thebe     |Thebe_(moon)     |planet|WP     |Moon of Jupiter (JXIV)
JPL 515         |Adrastea  |Adrastea_(moon)  |planet|WP     |Moon of Jupiter (JXV)
JPL 516         |Metis     |Metis_(moon)     |planet|WP     |Moon of Jupiter (JXVI)
JPL 599         |Jupiter   |Jupiter          |planet|WP     |
JPL 601         |Mimas     |Mimas_(moon)     |planet|WP     |Moon of Saturn (SI)
JPL 602         |Enceladus |Enceladus        |planet|WP     |Moon of Saturn (SII)
JPL 603         |Tethys    |Tethys_(moon)    |planet|WP     |Moon of Saturn (SIII)
JPL 604         |Dione     |Dione_(moon)     |planet|WP     |Moon of Saturn (SIV)
